Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
176,41.66666667,98.09101868,3,202.5763235,372.5331666,62291.55556,103.4444444,0.10442359,108.0833333,100,2.948243027,23.7423989,0
177,55.66666667,98.03938802,3,298.9122054,426.9419722,64795.55556,110.3055556,0.103398464,107.1111111,100,2.785659874,18.92401266,0
178,59.66666667,97.90645854,3,196.691149,368.1760514,65856,108.1944444,0.104937777,104.8055556,100,2.747265413,27.73425401,0
179,61,98.07550049,3,117.4230065,355.8563272,62645.77778,111.3888889,0.104226113,105.5277778,100,2.842309437,24.66825571,2
180,56,97.86125946,6.333333333,167.2596175,351.2658774,68880.22222,97.88888889,0.103658457,104.9444444,100,2.398725019,27.08980919,0
181,69.66666667,97.9891154,2.666666667,154.4983824,352.6308458,62106.88889,145.0833333,0.103051253,104.5555556,97.22222222,2.167677771,12.2565506,0
182,60,98.02157338,3,183.7923685,345.2261219,60845.77778,108.7777778,0.104647579,105.5277778,100,2.192689501,21.92001803,0
183,49.66666667,98.07920837,3,271.5894125,386.5876108,57854,92.83333333,0.104123145,104.2777778,100,2.089231015,21.15859963,0
184,49.66666667,98.05456797,6,205.1876244,405.5931916,58800.44444,150.5,0.103822857,104.5555556,100,2.279189768,18.42467244,0
185,52.375,98.05274057,3.311688312,283.8144554,386.6922697,54583.55556,113.1944444,0.104777906,104.75,100,2.378055258,22.78979188,0
186,48.94444444,98.08363385,3.269662921,132.4354911,295.9364339,54100.26667,118.3666667,0.105075845,105.1666667,96.66666667,2.532521365,19.72480302,0
187,51.16666667,98.08028581,3.188888889,106.6166914,396.4142176,58822.22222,101.8333333,0.103129908,105.0555556,100,2.339445473,13.78436368,0
188,38.77777778,98.06132338,3.388888889,278.1610936,417.7872961,74036.44444,107.6388889,0.103401912,105.1388889,100,2.180726205,15.44383811,0
189,59,97.94873937,3.426966292,137.801274,508.4085424,73394.44444,107.2777778,0.104772459,106.6666667,100,2.092543298,8.307478731,0
190,59.72222222,97.96564229,3.266666667,197.5289542,436.1667895,28848.66667,163.5,0.115806363,109.0555556,97.22222222,2.51921028,25.71094674,2
191,49.52941176,97.86070925,3.741573034,49.0542932,507.5971283,53650.22222,113.3888889,0.101083736,102.1944444,100,2.010429624,11.02503462,0
192,45.72222222,97.94281345,4.055555556,32.52074948,483.88614,68561.11111,105.6944444,0.09790896,101.2777778,100,2.219698513,11.78131248,0
193,47.05555556,98.02115462,3.255555556,198.0910092,467.8334489,58554.97143,128.0285714,0.100690617,101.8571429,100,2.25579363,24.43518182,0
194,39.33333333,98.02122455,6.528089888,264.3148073,448.8752466,12617.11111,102.4444444,0.100819127,101.2222222,100,2.308663968,13.08878586,0
195,42.27777778,97.9625206,6.233333333,277.286666,452.9117411,26860,122.25,0.098424751,100.6111111,100,1.998952685,11.99579257,2
196,50.44444444,97.68844647,3.288888889,180.7098342,443.0093912,53767.55556,138.1388889,0.105094957,101.6944444,97.22222222,1.715979169,11.8535571,0
